Focusing on dataset from 201124 to 201127 (each bird wore each headpack once),,,,,,,,,,,
"For determining if usable, I check if they properly land/takeoff on each perch (cant properly check from end2ini when there are obstacles; properly: both legs on perch)",,,,,,,,,,,
"For determining TO frame: visually checking in Nexus, selecting the frame when the head markers dip before jumping off the perch",,,,,,,,,,,
"For determining L frame: visually checking in Nexus, selecting the frame when the head markers dip first time on landing perch. *some of the frame_L_2 seem more like TO frame towards the falconer. It seems it is trials with no food drectly on the perch",,,,,,,,,,,
,,Way around obstacles: INI2END,Way around obstacles: END2INI,,,,,,,,
Trial name,Usable flight INI2END? ,(around-L / around-R / over / other),(around-L / around-R / over / other),Usable flight END2INI*?,Usable BOTH LEGS?,Headpack,Obstacles,frame_TO_1,frame_L_1,frame_TO_2,frame_L_2
201127_Drogon13,yes,around-R,around-R,yes,yes,lmax55,yes,,,,
201127_Drogon14,yes,around-L,around-R,yes,yes,lmax55,yes,,,,
201127_Drogon15,yes,around-R,around-R,yes,yes,lmax55,yes,,,,
201127_Drogon16,yes,around-R,around-R,yes,yes,lmax55,yes,,,,
201127_Toothless01,"yes, second rep",,,"yes, first and second rep",no,4m,no,,,,
201127_Toothless02,yes,,,yes,yes,4m,no,,,,
201127_Toothless03,yes,,,yes,yes,4m,no,,,,
201127_Toothless04,yes,,,yes,yes,4m,no,,,,
201127_Toothless05,yes,,,yes,yes,4m,no,,,,
201127_Toothless06,"yes, second rep",,,"yes, first and second rep",no,4m,no,,,,
201127_Toothless07,yes,,,yes,yes,4m,no,,,,
201127_Toothless08,yes,around-R,around-L,yes,yes,4m,no,,,,
201127_Toothless09,yes,around-R,around-L,yes,yes,4m,yes,,,,
201127_Toothless10,yes,around-L,around-R,yes,yes,4m,yes,,,,
201127_Toothless11,"yes, second rep",around-R,around-L ,yes,no,4m,yes,,,,
201127_Toothless12,yes,around-L,around-L,yes,yes,4m,yes,,,,
201127_Toothless13,yes,around-R,around-R,yes,yes,4m,yes,,,,
201127_Toothless14,yes,around-R,around-R,yes,yes,4m,yes,,,,
201127_Toothless15,yes,around-R,around-R,yes,yes,4m,yes,,,,
201127_Toothless16,yes,around-R,around-R,yes,yes,4m,yes,,,,
201127_Charmander01,yes,,,yes,yes,lmax30ABS,no,,,,
201127_Charmander02,yes,,,yes,yes,lmax30ABS,no,,,,
201127_Charmander03,yes,,,yes,yes,lmax30ABS,no,,,,
201127_Charmander04,"yes, second rep",,,"yes, first and second rep",no,lmax30ABS,no,,,,
201127_Charmander05,yes,,,yes,yes,lmax30ABS,no,,,,
201127_Charmander06,yes,,,yes,yes,lmax30ABS,no,,,,
201127_Charmander07,yes,,,yes,yes,lmax30ABS,no,,,,
201127_Charmander08,yes,,,yes,yes,lmax30ABS,no,,,,
201127_Charmander09,yes,around-L,around-R,yes,yes,lmax30ABS,yes,,,,
201127_Charmander10,yes,around-R,around-R,yes,yes,lmax30ABS,yes,,,,
201127_Charmander11,yes,around-L,around-L,yes,yes,lmax30ABS,yes,,,,
201127_Charmander12,yes,around-L,around-L,yes,yes,lmax30ABS,yes,,,,
201127_Charmander13,yes,around-L,around-L,yes,yes,lmax30ABS,yes,,,,
201127_Charmander14,yes,around-L,around-L,yes,yes,lmax30ABS,yes,,,,
201127_Charmander15,yes,around-L,around-L,yes,yes,lmax30ABS,yes,,,,
201127_Charmander16,yes,around-R,around-L,yes,yes,lmax30ABS,yes,,,,
201127_Ruby01,yes,,,yes,yes,lmax45,no,,,,
201127_Ruby02,"yes, second rep",,,"yes, first and second rep",no,lmax45,no,,,,
201127_Ruby03,yes,,,yes,yes,lmax45,no,,,,
201127_Ruby04,yes,,,yes,yes,lmax45,no,,,,
201127_Ruby05,yes,,,yes,yes,lmax45,no,,,,
201127_Ruby06,yes,,,yes,yes,lmax45,no,,,,
201127_Ruby07,yes,,,yes,yes,lmax45,no,,,,
201127_Ruby08,yes,,,yes,yes,lmax45,no,,,,
201127_Ruby09,yes,around-L,around-L,yes,yes,lmax45,yes,,,,
201127_Ruby10,yes,around-R,around-R,yes,yes,lmax45,yes,,,,
201127_Ruby11,yes,around-R,around-R,yes,yes,lmax45,yes,,,,
201127_Ruby12,yes,around-R,around-R,yes,yes,lmax45,yes,,,,
201127_Ruby13,"yes, first and second rep",around-R,"perched on lamp, twice","no, (not first nor second rep, perched in both)",no,lmax45,yes,,,,
201127_Ruby13bis,yes,around-R,around-R,yes,yes,lmax45,yes,,,,
201127_Ruby14,yes,around-L,around-R,yes,yes,lmax45,yes,,,,
201127_Ruby15,yes,around-L,around-L,yes,yes,lmax45,yes,,,,
201127_Ruby16,yes,around-L,around-L ,yes,yes,lmax45,yes,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Drogon,Toothless,Charmander,Ruby,,,,,,
TOTAL number of 'yes' for usable both legs,214,55,51,54,54,,,,,,
TOTAL number of recorded flights,279,68,76,70,65,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Usable straightaway,NO obstacles,WITH obstacles ,total,,,,,,,,
Drogon,28,27,55,,,,,,,,
Toothless,23,28,51,,,,,,,,
Charmander,27,27,54,,,,,,,,
